make,model,model_year,rating,origin_country,category
Lincoln,Navigator,1999,85,Sudan,Convertible
Toyota,Tundra,2008,8,Poland,Hatchback
Toyota,Solara,2005,45,Portugal,SUV
Kia,Optima,2010,49,Russia,Hatchback
Porsche,911,1993,62,China,Hatchback
Bentley,Continental GT,2010,48,Nigeria,Truck
Audi,S5,2008,29,Japan,SUV
BMW,X5,2002,18,Iran,Sedan
Porsche,944,1984,62,Ethiopia,Truck
Chevrolet,HHR,2006,26,Azerbaijan,Hatchback
Toyota,Corolla,1993,31,Slovenia,Hatchback
Mazda,B-Series Plus,2002,46,Colombia,Truck
Cadillac,Seville,2002,95,Canada,Sedan
Pontiac,Grand Prix,1982,97,Somalia,Hatchback
Volvo,S40,2008,11,Guatemala,Truck
Mercedes-Benz,E-Class,2010,58,Ecuador,Convertible
Ford,Econoline E350,1993,83,China,Sedan
Ford,ZX2,2001,39,Macedonia,Sedan
BMW,M3,2012,68,Portugal,Sedan
Ford,Taurus,2007,90,Russia,Convertible
Chevrolet,Express 3500,2009,13,Uruguay,Sedan
Pontiac,Bonneville,1987,70,Sweden,Convertible
Cadillac,SRX,2005,78,China,Hatchback
Mazda,MX-5,2005,66,China,SUV
Kia,Forte,2010,77,Indonesia,SUV
Mitsubishi,Sigma,1990,76,Russia,Convertible
Volkswagen,Passat,2002,2,South Africa,SUV
Chevrolet,S10,2002,62,Ukraine,Sedan
Cadillac,Escalade,2000,92,Slovenia,Hatchback
Scion,xB,2008,33,China,SUV
Chevrolet,Express,2006,9,China,Sedan
Toyota,Supra,1996,89,Philippines,Truck
Cadillac,Eldorado,1998,3,Indonesia,Truck
Ford,Galaxie,1964,99,Indonesia,Convertible
Dodge,D150,1992,57,China,Sedan
Ford,Focus,2001,93,Dominican Republic,Convertible
Audi,S5,2008,18,Botswana,Convertible
Chevrolet,TrailBlazer,2007,14,China,Hatchback
GMC,Jimmy,1996,11,France,Truck
Saab,9-7X,2006,80,Portugal,Hatchback
Mercury,Sable,1992,100,United States,Hatchback
Jeep,Grand Cherokee,2011,29,Indonesia,Hatchback
Ford,E250,2006,97,Yemen,Sedan
Maserati,Quattroporte,1986,17,Thailand,Truck
Mazda,MPV,2000,38,France,Hatchback
Honda,Fit,2007,59,Cameroon,Sedan
Chevrolet,Venture,2000,95,Venezuela,SUV
GMC,Savana 2500,2004,35,Costa Rica,Truck
Volkswagen,Eos,2011,74,China,SUV
Dodge,Viper,2009,35,China,Sedan
Dodge,Dakota,2003,52,Chad,Sedan
Mitsubishi,Pajero,1994,59,Colombia,Sedan
Pontiac,Vibe,2007,67,China,Sedan
Mercury,Cougar,1984,3,Serbia,Sedan
Ford,Mustang,1973,16,Greece,Truck
Mazda,Miata MX-5,1993,75,China,Hatchback
Isuzu,Rodeo,2000,40,Italy,Hatchback
BMW,X6,2011,15,Poland,Convertible
Mazda,929,1988,43,China,SUV
Saturn,S-Series,1997,100,China,Convertible
Bentley,Continental GTC,2009,19,France,Convertible
Mercedes-Benz,C-Class,2006,15,France,SUV
GMC,Savana 1500,2011,34,Indonesia,Convertible
Land Rover,LR3,2009,51,France,Truck
Pontiac,Bonneville,2001,49,China,Sedan
Chevrolet,Impala,1994,17,Sweden,Truck
Lamborghini,Diablo,2000,29,Azerbaijan,Convertible
Pontiac,Grand Prix,1974,99,Portugal,Truck
Saturn,S-Series,1996,8,France,Convertible
Cadillac,XLR,2004,93,Russia,SUV
Chevrolet,Corvette,1966,50,Indonesia,SUV
Buick,Park Avenue,1991,97,Vietnam,Truck
Buick,Rendezvous,2004,24,China,Sedan
Chevrolet,Corvette,1954,55,Philippines,Convertible
Volkswagen,rio,2001,68,Seychelles,SUV
Chevrolet,Malibu,2004,57,Morocco,Sedan
Dodge,Durango,2004,81,Mali,Hatchback
Audi,V8,1990,81,China,Convertible
GMC,Sierra 1500,2010,67,Russia,Truck
Ford,Fusion,2011,5,Syria,Truck
Nissan,Titan,2010,32,Indonesia,Convertible
Dodge,Intrepid,1999,37,Portugal,SUV
GMC,Suburban 2500,1998,68,Costa Rica,Convertible
Pontiac,Firebird,1984,19,Russia,Convertible
Acura,MDX,2012,20,Belarus,Sedan
Ford,F150,1997,13,Belarus,Sedan
Infiniti,QX,2011,14,Mexico,Sedan
Buick,Regal,1998,50,Kiribati,Sedan
Volkswagen,Passat,2003,16,China,Convertible
Audi,S6,2008,17,Indonesia,Convertible
Pontiac,LeMans,1965,32,Philippines,Truck
Buick,Century,1993,29,Italy,Truck
Chevrolet,Blazer,1997,27,Burkina Faso,Sedan
Volvo,C70,1999,2,Jordan,SUV
Cadillac,XLR,2007,37,Kazakhstan,Truck
Nissan,Pathfinder,1993,67,Panama,Hatchback
Pontiac,Sunfire,2002,88,Indonesia,Truck
Suzuki,Swift,1994,29,Indonesia,Convertible
Porsche,911,1994,41,Russia,Sedan
Dodge,Ram Van 3500,2003,15,Mexico,Hatchback
Maybach,62,2011,90,Sweden,SUV
Toyota,Land Cruiser,2009,78,Philippines,Convertible
Cadillac,STS-V,2006,3,United Kingdom,Convertible
Toyota,Celica,1982,85,Sweden,Hatchback
Dodge,Grand Caravan,1992,4,Estonia,Convertible
Ford,Mustang,1964,80,Philippines,SUV
Mazda,Mazda3,2009,18,Indonesia,Convertible
Honda,Accord Crosstour,2010,100,China,SUV
BMW,M Roadster,2006,85,Brazil,SUV
Mercury,Marauder,2003,64,China,Sedan
Chevrolet,Tahoe,1995,37,Honduras,Hatchback
Pontiac,Firebird Trans Am,1986,43,France,Sedan
Chevrolet,Cavalier,1998,25,France,Sedan
BMW,7 Series,2006,15,China,SUV
Chevrolet,Blazer,2005,92,China,Hatchback
Smart,Fortwo,2010,20,Portugal,Truck
Dodge,Grand Caravan,2001,45,Poland,Convertible
Lincoln,LS,2005,27,China,SUV
Lexus,LX,2011,74,China,Convertible
Ford,Freestyle,2006,37,China,Convertible
Toyota,T100 Xtra,1997,79,Philippines,Hatchback
Audi,A8,1999,61,Mexico,Hatchback
Honda,Civic,1985,88,Mexico,Convertible
GMC,Yukon XL 1500,2009,59,Czech Republic,Convertible
Scion,tC,2011,60,China,SUV
Honda,Prelude,1999,60,Russia,Truck
Pontiac,LeMans,1966,60,Indonesia,Sedan
Chevrolet,SSR,2006,34,Poland,Hatchback
Volkswagen,Golf,1988,36,Japan,Sedan
Scion,xB,2011,64,Russia,SUV
BMW,M3,1999,46,Greece,SUV
Volkswagen,R32,2009,32,China,Truck
Porsche,911,1991,55,Iran,Hatchback
Pontiac,Grand Am,1988,34,Ireland,SUV
Buick,Special,1962,45,Japan,Sedan
Toyota,Tundra,2009,31,Nigeria,Convertible
Honda,Accord,2010,48,Venezuela,Sedan
Ford,Taurus X,2009,47,Poland,Truck
Chevrolet,Express 2500,2003,50,Indonesia,Hatchback
Mercedes-Benz,CLK-Class,1998,16,Ukraine,Truck
Aston Martin,V8 Vantage,2010,80,Guinea-Bissau,Convertible
Isuzu,Ascender,2008,14,Ukraine,SUV
Audi,Allroad,2003,13,Croatia,Truck
Lincoln,Mark VIII,1997,87,Singapore,Truck
Lexus,RX Hybrid,2006,46,Sweden,Convertible
Dodge,Sprinter,2009,56,China,Truck
Mazda,929,1993,16,Poland,Sedan
Chevrolet,Malibu,1997,33,China,SUV
Kia,Carens,2008,86,China,SUV
Dodge,Stratus,2000,11,China,SUV
Chevrolet,Corsica,1993,77,China,Convertible
Lexus,ES,2009,83,United States,Hatchback
Land Rover,Defender,1994,78,Indonesia,Convertible
Aston Martin,V8 Vantage,2012,16,France,SUV
Mercedes-Benz,CLS-Class,2011,81,China,Hatchback
Volkswagen,riolet,1993,42,Russia,Truck
Suzuki,Forenza,2005,17,Portugal,SUV
Cadillac,DeVille,1994,25,Colombia,Convertible
GMC,Yukon XL 2500,2009,60,France,Convertible
Bentley,Mulsanne,2012,64,Indonesia,Hatchback
Ford,Mustang,1995,67,Botswana,Sedan
Jeep,Liberty,2008,47,Jordan,SUV
Ford,Mustang,1969,29,Brazil,Sedan
Saab,9000,1986,31,Philippines,Sedan
Mitsubishi,Mirage,2001,82,Russia,Sedan
Chevrolet,Silverado 2500,2008,12,China,Sedan
Mercury,Grand Marquis,2010,65,Bolivia,SUV
Mazda,MX-6,1992,75,Kenya,Convertible
Toyota,Yaris,2006,94,Argentina,SUV
Ford,Ranger,1991,83,Philippines,Hatchback
Lexus,LS,1992,18,Peru,Truck
Mercedes-Benz,C-Class,2007,77,Ukraine,Truck
Toyota,Yaris,2011,100,Portugal,Hatchback
Ford,Thunderbird,1958,78,Indonesia,Sedan
BMW,M3,2010,6,Poland,Hatchback
Toyota,Camry,2012,15,China,SUV
Saturn,Relay,2007,62,Colombia,Sedan
Dodge,Viper RT/10,1994,43,China,Truck
Mercedes-Benz,E-Class,1991,3,United States,Hatchback
Mitsubishi,GTO,1991,28,Czech Republic,Truck
Pontiac,Grand Am,1997,5,Bosnia and Herzegovina,Truck
Oldsmobile,Regency,1997,26,Canada,SUV
Suzuki,Aerio,2006,94,Eritrea,SUV
Chevrolet,Sportvan G20,1995,63,Thailand,SUV
Volkswagen,GTI,2003,22,China,SUV
Volvo,S40,2004,26,China,Truck
GMC,Yukon,1994,70,Senegal,SUV
Chevrolet,G-Series G10,1993,57,Bahamas,Hatchback
Chevrolet,Impala,2005,94,China,Hatchback
Lexus,LX,2003,17,Chile,SUV
Chevrolet,Corvette,2004,77,China,Hatchback
Mazda,MX-5,1993,54,Jamaica,Sedan
Jeep,Cherokee,1992,67,Portugal,Convertible
GMC,Savana 3500,2001,44,Nigeria,Convertible
Nissan,Altima,2005,70,Indonesia,Hatchback
Hyundai,Tucson,2010,43,Philippines,Sedan
Dodge,Durango,2004,76,Japan,SUV
Jeep,Patriot,2012,54,Russia,Sedan
Kia,Optima,2010,43,Philippines,SUV
Mazda,MX-5,2006,40,Cameroon,Hatchback
Hummer,H2,2008,61,Brazil,Hatchback
Isuzu,Rodeo,1997,71,Indonesia,Convertible
Aston Martin,Vantage,2006,65,Brazil,SUV
Toyota,Sienna,2004,62,China,Sedan
BMW,M,2002,52,Indonesia,Hatchback
Ford,Ranger,2006,20,Nigeria,Truck
Ford,Laser,1985,45,Malaysia,SUV
Mercedes-Benz,C-Class,1999,50,Indonesia,Sedan
Toyota,Avalon,2003,96,Indonesia,Truck
Toyota,MR2,1987,59,Russia,Truck
Volkswagen,GTI,1998,28,China,SUV
Mercury,Grand Marquis,1993,63,Argentina,Truck
Porsche,928,1993,82,United States,Truck
Lincoln,Continental,1990,59,Brazil,SUV
Acura,MDX,2004,11,Lithuania,Sedan
Nissan,350Z,2005,98,Philippines,Truck
Porsche,928,1995,96,China,SUV
GMC,Yukon Denali,2006,22,China,Sedan
Isuzu,Ascender,2006,100,Indonesia,SUV
Cadillac,Seville,1993,21,China,SUV
Dodge,Ram 1500,2007,15,China,Sedan
BMW,Z3,1998,86,Ireland,SUV
Mitsubishi,Galant,2000,72,Japan,Sedan
Chevrolet,Express 2500,2003,83,Indonesia,SUV
GMC,Sonoma,1998,99,China,Sedan
Ford,Mustang,1965,27,Japan,Sedan
Chevrolet,Silverado 1500,2011,93,Indonesia,Hatchback
Chevrolet,G-Series G20,1993,10,Sweden,Convertible
Ford,F-Series,2006,41,Philippines,Sedan
Nissan,GT-R,2012,73,China,Sedan
Toyota,Land Cruiser,2011,79,Brazil,SUV
Mitsubishi,Pajero,1997,3,China,Sedan
GMC,Envoy XUV,2005,80,China,Truck
Nissan,Armada,2010,77,Nigeria,Hatchback
Chrysler,Crossfire,2006,86,Bolivia,Sedan
BMW,X3,2008,46,China,SUV
Dodge,Ram 2500 Club,1996,74,Haiti,Hatchback
Mercury,Sable,1986,15,Russia,Convertible
Dodge,Magnum,2008,54,Canada,Convertible
GMC,Rally Wagon 1500,1992,64,Afghanistan,SUV
Oldsmobile,Cutlass,1998,62,China,Sedan
Chevrolet,3500,1995,85,Japan,Hatchback
Lincoln,MKS,2011,87,Indonesia,Hatchback
Mazda,Miata MX-5,1996,61,China,Hatchback
Hyundai,XG350,2003,17,Peru,Hatchback
Rolls-Royce,Phantom,2012,12,China,Hatchback
Mitsubishi,3000GT,1996,85,Sweden,Truck
Holden,VS Commodore,1997,53,Philippines,Hatchback
Lotus,Esprit Turbo,1984,9,China,Sedan
GMC,Savana 3500,2012,85,Czech Republic,Convertible
Dodge,Durango,2000,68,Italy,Truck
Ford,F-Series,1989,30,Armenia,Sedan
Isuzu,Rodeo,1996,44,Portugal,Sedan
Toyota,TundraMax,2012,56,China,Hatchback
Audi,S4,2000,40,United States,Convertible
Ford,Mustang,1995,77,Indonesia,SUV
Chevrolet,Cavalier,2001,64,Russia,Sedan
Volkswagen,Passat,1985,46,Philippines,SUV
Chrysler,LHS,1997,98,Belgium,Hatchback
Chevrolet,Silverado 1500,2007,1,China,SUV
Ford,F-Series Super Duty,2011,13,Tanzania,Truck
Chrysler,Sebring,1997,6,Papua New Guinea,Sedan
Mercedes-Benz,G-Class,2012,70,Venezuela,Hatchback
Mitsubishi,Mirage,1986,95,Pakistan,Truck
Mitsubishi,Outlander,2005,50,Russia,Sedan
Chevrolet,Express 1500,1997,19,Russia,Convertible
Toyota,Camry,2009,17,China,Convertible
Buick,Riviera,1993,41,France,Truck
Subaru,Legacy,2009,8,Ethiopia,Truck
Honda,Element,2010,80,Slovenia,Truck
Audi,TT,2008,1,Indonesia,Truck
Porsche,911,1995,19,Philippines,SUV
Chevrolet,Corvette,1997,47,Dominican Republic,SUV
Volvo,XC70,2007,21,Poland,Sedan
Chevrolet,Cruze,2012,21,Sweden,SUV
Audi,S5,2010,51,China,Hatchback
